,组合,指数
2010-04-30,,-0.026903999999999997
2010-05-04,-0.007629492400397231,-0.0010249999999999999
2010-05-05,0.023186931683932377,0.02947
2010-05-06,-0.038223936321212015,-0.03177
2010-05-07,-0.022547273503535248,-0.015617
2010-05-10,-0.012247762797557016,-0.018767
2010-05-11,-0.026658736384442827,-0.029223
2010-05-12,-0.009384154170540726,-0.024571999999999997
2010-05-13,0.030177731328348667,0.028527999999999998
2010-05-14,0.002168805876409996,0.006494
2010-05-17,-0.05982277625778587,-0.064301
2010-05-18,0.0185380024031474,0.014403999999999998
2010-05-19,-0.006693311033893701,0.001315
2010-05-20,-0.016653756868368452,-0.019138
2010-05-21,0.016867033401960052,0.020794999999999998
2010-05-24,0.04124965526016644,0.045473
2010-05-25,-0.010316639760934887,-0.007237
2010-05-26,-0.002326315711965509,0.002738
2010-05-27,0.01712183424201319,0.017848
2010-05-28,0.002483515704953642,0.003955
2010-05-31,-0.024767033048462395,-0.03092
2010-06-01,-0.017677120399642532,-0.019144
2010-06-02,0.011813465648484732,0.014363999999999998
2010-06-03,-0.010080121666468211,-0.007256
2010-06-04,0.0051044050811315245,0.008646000000000001
2010-06-07,-0.009427940950989531,-0.004027
2010-06-08,0.008558832597066912,0.009023999999999999
2010-06-09,0.029690701471387197,0.024959
2010-06-10,0.000988137977302239,0.002774
2010-06-11,-0.002520500563290895,-0.006054
2010-06-17,-0.01125048781619331,-0.012565999999999999
2010-06-18,-0.033984750403223574,-0.041724
2010-06-21,0.029880255856750804,0.028883000000000002
2010-06-22,0.008878192517747019,0.008002
2010-06-23,-0.005216047079954711,-0.006106
2010-06-24,0.000510927787558124,0.000178
2010-06-25,-0.013292830473652706,-0.016327
2010-06-28,-0.01098947913055548,-0.016644000000000003
2010-06-29,-0.052583393753225065,-0.056646999999999996
2010-06-30,-0.01514498433000444,-0.019405
2010-07-01,-0.015056864112480528,-0.015792
2010-07-02,-0.003721231969833982,-0.005827
2010-07-05,-0.005433492566979337,-0.00605
2010-07-06,0.02115453469288964,0.028467
2010-07-07,0.0124228250174494,0.014549000000000001
2010-07-08,0.002096797979910025,-0.005464
2010-07-09,0.02921638355726297,0.029544
2010-07-12,0.010027517571425726,0.011008
2010-07-13,-0.020161568307238142,-0.015786
2010-07-14,0.010540269903879462,0.009316
2010-07-15,-0.01870342145581472,-0.023183
